[400, 34.0, 6.22, 23.48, 1306, 11]
[454, 28.0, 6.44, 29.66, 994, 4]
[427, 32.0, 6.46, 24.55, 1377, 5]
[438, 35.0, 6.28, 30.05, 1350, 2]
[452, 29.0, 5.6, 26.24, 986, 0]
[452, 28.0, 6.21, 28.78, 1119, 11]
[438, 36.0, 5.71, 29.82, 965, 18]
[451, 40.0, 6.23, 26.48, 947, 15]
[401, 40.0, 5.99, 23.87, 1171, 4]
[411, 35.0, 5.93, 25.6, 1085, 8]
[452, 32.0, 6.15, 26.78, 1347, 10]
[434, 30.0, 5.98, 28.64, 874, 9]
[442, 40.0, 5.65, 28.95, 1190, 0]
[449, 31.0, 5.97, 26.03, 869, 1]
[419, 19.0, 5.94, 28.86, 1149, 5]
[419, 18.0, 5.96, 25.41, 1215, 5]
[419, 16.0, 5.9, 28.47, 1184, 6]
[418, 16.0, 5.9, 25.35, 1330, 5]
[417, 18.0, 5.82, 28.75, 1306, 5]
[415, 19.0, 6.21, 28.33, 1392, 5]
[417, 19.0, 6.28, 25.47, 1359, 9]
[419, 17.0, 5.66, 25.56, 1254, 6]
[418, 16.0, 5.98, 27.34, 1176, 9]
[416, 16.0, 6.15, 28.64, 1176, 7]
[415, 15.0, 6.49, 25.31, 1214, 5]
[418, 19.0, 5.83, 27.49, 1283, 7]
[419, 17.0, 5.63, 28.87, 1392, 7]
[416, 18.0, 6.35, 26.23, 1188, 5]
[415, 18.0, 6.3, 25.49, 1134, 9]
[419, 18.0, 6.37, 28.66, 1147, 9]
[416, 19.0, 5.66, 26.5, 1153, 8]
[417, 16.0, 6.49, 26.88, 1143, 5]
[418, 15.0, 5.84, 26.35, 1318, 9]
[417, 15.0, 6.06, 26.98, 1301, 7]
[415, 18.0, 6.35, 27.77, 1294, 5]
[417, 18.0, 5.86, 26.32, 1317, 5]
[418, 15.0, 6.04, 28.07, 1275, 9]
[415, 16.0, 5.6, 28.67, 1302, 8]
[418, 19.0, 5.68, 26.6, 1222, 9]
[419, 15.0, 6.1, 26.75, 1176, 5]
[417, 16.0, 5.92, 28.1, 1143, 8]
[419, 17.0, 5.94, 28.36, 1301, 7]
[417, 17.0, 6.12, 26.5, 1200, 6]
[416, 19.0, 5.74, 28.45, 1101, 6]
[416, 19.0, 5.99, 27.35, 1108, 5]
[417, 17.0, 6.46, 27.64, 1201, 7]
[416, 15.0, 6.19, 27.94, 1396, 6]
[419, 16.0, 6.41, 25.71, 1278, 6]
[418, 16.0, 5.61, 26.44, 1344, 9]
[417, 19.0, 6.01, 28.57, 1289, 9]
[419, 17.0, 6.47, 25.4, 1163, 8]
[415, 17.0, 6.19, 25.36, 1330, 9]
[415, 16.0, 6.23, 25.35, 1143, 8]
[416, 19.0, 5.6, 27.04, 1161, 8]
[418, 18.0, 5.61, 29.9, 1326, 8]
[418, 17.0, 6.0, 29.72, 1160, 5]
[419, 19.0, 5.58, 29.91, 1372, 5]
[417, 16.0, 5.5, 29.57, 1202, 5]
[425, 21.0, 6.17, 27.94, 1511, 5]
[416, 20.0, 6.01, 28.76, 1517, 9]
[415, 21.0, 6.63, 27.06, 1620, 5]
[421, 22.0, 6.36, 27.68, 1731, 6]
[428, 20.0, 6.23, 29.06, 1596, 5]
[415, 22.0, 6.11, 27.69, 1693, 7]
[413, 22.0, 6.08, 26.54, 1744, 14]
[410, 22.0, 6.53, 29.71, 1693, 14]
